Date,SecurityCode,SecurityName,LTP,52WeekHigh,Prev52WHighPrice,Prev52WHighDate,AllTimeHighPrice,AllTimeHighDate
2026-09-22,532741,KAMDHENU,41.6,43.81,43.23,21 Sep 2026,672.15,13 Sep 2024
2026-09-22,544911,KANOHAR,870.65,905.5,885.65,17 Sep 2026,905.5,22 Sep 2026
2026-09-22,544917,KARAMTARA,364.75,381.2,378.2,18 Sep 2026,381.2,22 Sep 2026
2026-09-22,544398,KENRIK,14.0,14.5,14.4,15 Sep 2026,27.57,12 May 2025
2026-09-22,507180,KESARENT,12.97,12.97,12.72,21 Sep 2026,279.75,10 Apr 2006
2026-09-22,524520,KMCSHIL,159.8,166.6,163.0,21 Sep 2026,166.6,22 Sep 2026
2026-09-22,544253,KROSS,255.6,262.75,261.6,21 Sep 2026,271.0,16 Sep 2024
2026-09-22,540222,LAURUSLABS,2005.1,2032.5,2023.0,21 Sep 2026,2032.5,22 Sep 2026
2026-09-22,590139,LIQUID1,1123.66,1123.68,1123.53,21 Sep 2026,1123.68,22 Sep 2026
2026-09-22,544159,LIQUIDADD,1145.79,1145.79,1145.64,21 Sep 2026,1145.79,22 Sep 2026
2026-09-22,544182,LIQUIDBETF,1099.78,1099.78,1099.65,21 Sep 2026,1099.78,22 Sep 2026
2026-09-22,531515,MAHANIN,19.84,19.84,18.9,21 Sep 2026,45.9,08 Jul 1996
2026-09-22,531680,MAYUR,44.21,45.54,44.25,21 Sep 2026,164.25,13 Sep 2010
2026-09-22,532629,MBECL,429.97,429.97,421.54,21 Sep 2026,429.97,22 Sep 2026
2026-09-22,544826,MILLWORKS,1286.45,1294.0,1266.0,21 Sep 2026,1294.0,22 Sep 2026
2026-09-22,521244,MKPMOB,177.0,177.8,169.35,21 Sep 2026,348.6,06 Aug 2024
2026-09-22,543563,MOHEALTH,52.8,54.22,53.99,21 Sep 2026,54.22,22 Sep 2026
2026-09-22,505797,MPCOSEMB,36.76,38.68,37.92,21 Sep 2026,100.0,27 Mar 1992
2026-09-22,532470,MPFSL,8.06,8.06,7.68,21 Sep 2026,96.09,14 Oct 2024
2026-09-22,531289,NATFIT,307.45,329.85,314.2,21 Sep 2026,329.85,22 Sep 2026
2026-09-22,508867,NEWMKTAVE,73.92,73.92,70.4,21 Sep 2026,73.92,22 Sep 2026
2026-09-22,539200,NOBPOL,15.36,15.36,15.06,21 Sep 2026,129.6,12 Aug 2015
2026-09-22,524414,NORRIS,19.69,19.71,19.63,08 Jul 2026,36.75,14 Feb 2022
2026-09-22,544735,NOVUS,213.05,228.0,224.0,15 Sep 2026,228.0,22 Sep 2026
2026-09-22,500078,OAL,556.35,572.0,563.55,21 Sep 2026,1389.95,21 Dec 2017
2026-09-22,524372,ORCHPHARMA,1107.2,1142.65,1130.0,11 Aug 2026,2680.0,05 Apr 2021
2026-09-22,544330,PARMESHWAR,341.5,344.4,342.85,10 Sep 2026,344.4,22 Sep 2026
2026-09-22,517172,PERVASIVE,10.78,10.78,10.57,21 Sep 2026,35.0,03 Nov 1992
2026-09-22,544383,PPARIVAH,297.75,305.0,303.0,21 Sep 2026,305.0,22 Sep 2026
2026-09-22,544844,PPEL,748.9,753.0,729.9,21 Sep 2026,753.0,22 Sep 2026
2026-09-22,519299,PRIMIND,65.86,65.86,62.73,21 Sep 2026,282.95,04 Mar 2024
2026-09-22,526494,PROMACT,15.47,15.47,14.74,21 Sep 2026,28.0,27 Jul 2005
2026-09-22,544932,QAL,63.65,66.99,,,66.99,22 Sep 2026
2026-09-22,511116,QUADRANT,0.86,0.86,0.82,21 Sep 2026,290.0,02 Feb 1994
2026-09-22,539515,QUINT,80.34,80.34,76.54,21 Sep 2026,638.05,04 Mar 2022
2026-09-22,500357,RAMAPPR-B,17.48,17.78,17.7,21 Sep 2026,108.8,10 Oct 2011
2026-09-22,544803,RAMBHAJO,283.9,308.25,308.0,21 Sep 2026,308.25,22 Sep 2026
2026-09-22,500330,RAYMOND,1113.65,1195.3,1121.8,15 Sep 2026,3493.0,08 Jul 2024
2026-09-22,540065,RBLBANK,422.95,424.15,420.35,09 Sep 2026,716.55,28 May 2019
2026-09-22,544755,RECODE,396.9,396.9,380.0,15 Sep 2026,396.9,22 Sep 2026
2026-09-22,513043,REMIEDEL,264.3,272.5,272.4,21 Sep 2026,272.5,22 Sep 2026
2026-09-22,502448,ROLLT,6.2,6.2,5.91,21 Sep 2026,950.0,31 Mar 1992
2026-09-22,544294,ROSSTECH,1494.9,1530.0,1464.0,18 Sep 2026,1530.0,22 Sep 2026
2026-09-22,530179,RSCINT,94.87,94.87,93.01,21 Sep 2026,94.87,22 Sep 2026
2026-09-22,544731,RSL,187.6,201.5,201.0,21 Sep 2026,201.5,22 Sep 2026
