SecurityCode,SecurityName,TotalAppearances,FirstSeenDate,LastSeenDate,DaysSinceFirstSeen,NewToday,LatestLTP,Latest52WHigh
543312,FOCUS,1,2026-09-22,2026-09-22,0,Yes,250.0,250.0
543324,GCSL,1,2026-09-22,2026-09-22,0,Yes,638.45,642.75
543358,SANSERA,1,2026-09-22,2026-09-22,0,Yes,4598.45,4630.0
543373,SVRL,1,2026-09-22,2026-09-22,0,Yes,581.0,581.15
543413,TEGA,1,2026-09-22,2026-09-22,0,Yes,2068.05,2174.0
543563,MOHEALTH,1,2026-09-22,2026-09-22,0,Yes,52.8,54.22
543573,SYRMA,1,2026-09-22,2026-09-22,0,Yes,1744.2,1803.6
543616,TLL,1,2026-09-22,2026-09-22,0,Yes,404.75,421.0
543651,DAPS,1,2026-09-22,2026-09-22,0,Yes,25.45,27.19
543860,JAFINANCE,1,2026-09-22,2026-09-22,0,Yes,141.95,145.85
543897,SANCODE,1,2026-09-22,2026-09-22,0,Yes,747.0,747.0
543916,HSIL,1,2026-09-22,2026-09-22,0,Yes,586.8,594.0
543973,HDFCLIQUID,1,2026-09-22,2026-09-22,0,Yes,1078.92,1078.92
543994,JSWINFRA,1,2026-09-22,2026-09-22,0,Yes,367.85,375.25
543998,VALIANTLAB,1,2026-09-22,2026-09-22,0,Yes,124.51,131.0
544000,CCAL,1,2026-09-22,2026-09-22,0,Yes,45.85,45.85
544037,AMIC,1,2026-09-22,2026-09-22,0,Yes,2481.25,2492.0
544067,INNOVACAP,1,2026-09-22,2026-09-22,0,Yes,1222.95,1239.95
544107,BLSE,1,2026-09-22,2026-09-22,0,Yes,329.45,339.95
544159,LIQUIDADD,1,2026-09-22,2026-09-22,0,Yes,1145.79,1145.79
544175,TGIF,1,2026-09-22,2026-09-22,0,Yes,104.65,126.95
544182,LIQUIDBETF,1,2026-09-22,2026-09-22,0,Yes,1099.78,1099.78
544201,DFPL,1,2026-09-22,2026-09-22,0,Yes,25.85,25.85
544222,AKUMS,1,2026-09-22,2026-09-22,0,Yes,809.3,830.85
544253,KROSS,1,2026-09-22,2026-09-22,0,Yes,255.6,262.75
544283,ACMESOLAR,1,2026-09-22,2026-09-22,0,Yes,458.9,476.4
544294,ROSSTECH,1,2026-09-22,2026-09-22,0,Yes,1494.9,1530.0
544310,YASHHV,1,2026-09-22,2026-09-22,0,Yes,1123.65,1158.95
544322,UNIMECH,1,2026-09-22,2026-09-22,0,Yes,1732.05,1866.75
544330,PARMESHWAR,1,2026-09-22,2026-09-22,0,Yes,341.5,344.4
544332,FABCLEAN,1,2026-09-22,2026-09-22,0,Yes,546.4,547.95
544369,BEEZAASAN,1,2026-09-22,2026-09-22,0,Yes,631.4,631.4
544371,VIKRAMAR,1,2026-09-22,2026-09-22,0,Yes,134.3,134.3
544383,PPARIVAH,1,2026-09-22,2026-09-22,0,Yes,297.75,305.0
544386,SPECTRUM,1,2026-09-22,2026-09-22,0,Yes,3391.4,3394.25
544395,STLNETWORK,1,2026-09-22,2026-09-22,0,Yes,47.31,47.31
544398,KENRIK,1,2026-09-22,2026-09-22,0,Yes,14.0,14.5
544402,JASH,1,2026-09-22,2026-09-22,0,Yes,585.45,600.55
544407,AEGISVOPAK,1,2026-09-22,2026-09-22,0,Yes,301.45,321.35
